cluster,area_m2,nn_dist,n_within_50m,ndvi,ndbi,dist_grocery,dist_school,dist_intersection,dist_center,building_density,built_fraction,mean_bsize,poi_density,poi_mix,road_density,inter_density,retail_ratio
0,144.235,20.181,9.09,0.478,-0.063,852.692,1299.716,177.756,9667.524,723.632,0.084,145.309,4.99,0.734,12275.0,18.907,0.004
1,196.557,15.152,13.87,0.371,0.01,253.224,498.019,77.525,5860.082,1402.174,0.22,190.752,59.284,3.921,24051.543,57.5,0.033
