cluster,area_m2,nn_dist,n_within_50m,ndvi,ndbi,dist_grocery,dist_school,dist_intersection,dist_center,building_density,built_fraction,mean_bsize,poi_density,poi_mix,road_density,inter_density,retail_ratio
0,166.458,25.51,5.791,0.506,-0.097,1152.989,1744.456,246.542,7938.58,398.483,0.053,169.583,4.082,0.564,10308.468,15.526,0.006
1,299.57,17.153,11.939,0.326,0.02,177.805,306.433,66.976,2772.485,1245.694,0.269,276.791,115.112,5.781,26032.379,76.36,0.073
2,117.906,13.877,14.329,0.422,-0.008,394.295,710.525,92.067,9561.985,1349.638,0.157,121.891,12.069,1.866,19335.803,34.907,0.002
